Date,Price,Open,High,Low,Vol.,Change %
14-05-2024,"3,034.95","2,895.00","3,045.20","2,874.55",5.73M,5.06%
13-05-2024,"2,888.85","2,802.95","2,890.00","2,792.40",3.78M,3.03%
10-05-2024,"2,804.00","2,785.40","2,809.00","2,762.15",2.35M,1.41%
09-05-2024,"2,765.00","2,864.50","2,880.00","2,756.30",1.48M,-3.34%
08-05-2024,"2,860.55","2,850.00","2,890.90","2,820.00",951.41K,0.76%
07-05-2024,"2,839.00","2,888.10","2,905.35","2,822.00",1.26M,-1.17%
06-05-2024,"2,872.70","2,990.25","2,996.35","2,850.00",2.38M,-4.03%
03-05-2024,"2,993.25","3,030.00","3,045.00","2,975.10",1.47M,-1.52%
02-05-2024,"3,039.60","3,071.95","3,119.85","3,015.05",2.22M,-0.49%
30-04-2024,"3,054.70","3,094.00","3,108.45","3,045.00",804.55K,-0.86%
29-04-2024,"3,081.20","3,110.00","3,110.50","3,051.50",648.54K,0.03%
26-04-2024,"3,080.40","3,119.90","3,129.90","3,066.05",662.76K,-1.12%
25-04-2024,"3,115.25","3,050.00","3,120.90","3,025.65",1.52M,2.36%
24-04-2024,"3,043.55","3,071.95","3,087.85","3,040.00",605.92K,-0.70%
23-04-2024,"3,065.10","3,059.00","3,091.00","3,043.10",1.65M,0.06%
22-04-2024,"3,063.35","3,053.00","3,077.50","3,025.00",993.93K,1.20%
19-04-2024,"3,026.95","3,000.00","3,057.05","2,962.50",1.73M,0.25%
18-04-2024,"3,019.30","3,125.15","3,145.00","3,008.30",1.70M,-2.80%
16-04-2024,"3,106.40","3,101.00","3,149.20","3,100.00",1.13M,-1.30%
15-04-2024,"3,147.45","3,150.00","3,180.30","3,103.20",1.04M,-1.95%
12-04-2024,"3,209.90","3,210.00","3,247.50","3,205.30",705.17K,-0.99%
10-04-2024,"3,242.00","3,200.00","3,254.60","3,192.50",1.44M,1.36%
09-04-2024,"3,198.45","3,240.70","3,251.00","3,185.00",833.68K,-0.81%
08-04-2024,"3,224.55","3,240.95","3,243.50","3,197.20",577.44K,-0.01%
05-04-2024,"3,224.80","3,211.10","3,234.00","3,178.95",755.61K,0.44%
04-04-2024,"3,210.80","3,250.00","3,273.00","3,201.70",1.40M,-0.70%
03-04-2024,"3,233.45","3,250.00","3,260.15","3,222.00",1.15M,-1.08%
02-04-2024,"3,268.75","3,258.95","3,285.00","3,240.00",868.83K,0.51%
01-04-2024,"3,252.10","3,230.20","3,291.80","3,207.85",1.29M,1.72%
