Date,Price,Open,High,Low,Vol.,Change %
14-05-2024,26.3,25.6,26.55,25.6,3.81M,3.14%
13-05-2024,25.5,26.2,26.2,25.05,4.61M,-1.92%
10-05-2024,26,25.85,26.1,25.65,3.30M,1.17%
09-05-2024,25.7,26.3,26.4,25.6,3.22M,-1.91%
08-05-2024,26.2,26.15,26.75,26.05,2.97M,0.19%
07-05-2024,26.15,26.55,26.65,26.1,4.79M,-1.88%
06-05-2024,26.65,27.15,27.15,26.4,3.21M,-1.30%
03-05-2024,27,27.1,27.65,26.8,3.71M,0.19%
02-05-2024,26.95,27.4,27.55,26.75,5.17M,-1.28%
30-04-2024,27.3,27.75,27.95,27.25,3.72M,-0.91%
29-04-2024,27.55,27.75,28.4,27.5,7.26M,0.00%
26-04-2024,27.55,27.8,27.85,27.25,4.82M,-0.18%
25-04-2024,27.6,27.55,27.9,27.5,3.64M,-0.36%
24-04-2024,27.7,27.55,28.5,27.4,6.12M,1.09%
23-04-2024,27.4,27.8,27.8,27.1,5.04M,0.00%
22-04-2024,27.4,27.8,27.8,26.55,4.72M,-1.44%
19-04-2024,27.8,28.1,28.6,27.3,5.22M,-3.14%
18-04-2024,28.7,27.8,28.7,27.5,4.48M,4.94%
16-04-2024,27.35,26.8,28.1,26.55,2.90M,1.30%
15-04-2024,27,26.65,27.85,26.3,3.36M,-2.35%
12-04-2024,27.65,28,28.1,27.55,2.01M,-0.54%
10-04-2024,27.8,28.7,28.7,27,2.75M,-2.11%
09-04-2024,28.4,28.4,28.95,28.2,2.44M,0.71%
08-04-2024,28.2,28.8,29,28.15,2.23M,-1.74%
05-04-2024,28.7,29,29.4,28.6,2.64M,-1.03%
04-04-2024,29,29.6,29.95,28.6,3.44M,-1.02%
03-04-2024,29.3,28.5,29.5,28,5.48M,2.99%
02-04-2024,28.45,28,28.45,27.5,5.70M,4.98%
01-04-2024,27.1,26.05,27.1,26.05,3.37M,4.84%
