Date,Price,Open,High,Low,Vol.,Change %
14-05-2024,96.2,93.5,96.65,93.45,9.32M,3.78%
13-05-2024,92.7,93.4,93.5,90.3,10.18M,-0.86%
10-05-2024,93.5,94,94.15,90.65,9.52M,0.11%
09-05-2024,93.4,96.7,97.35,92.55,9.64M,-3.36%
08-05-2024,96.65,96,97.75,95.45,11.44M,0.31%
07-05-2024,96.35,98.75,99.05,95.3,13.68M,-1.18%
06-05-2024,97.5,101.7,102.5,97.4,21.93M,-3.08%
03-05-2024,100.6,104.1,106.35,99.05,53.45M,-2.90%
02-05-2024,103.6,101.85,104.4,100.05,35.45M,3.08%
30-04-2024,100.5,98.35,103.8,98,55.53M,2.60%
29-04-2024,97.95,96.35,99,95.65,20.54M,2.24%
26-04-2024,95.8,97.25,97.65,95.55,8.21M,-1.34%
25-04-2024,97.1,96,98.2,95.8,9.09M,0.78%
24-04-2024,96.35,96.95,97.95,96.1,7.27M,0.05%
23-04-2024,96.3,95.6,98.65,95.4,25.07M,1.26%
22-04-2024,95.1,93.45,96.5,92,12.26M,3.59%
19-04-2024,91.8,90.8,93,89.55,9.28M,-0.54%
18-04-2024,92.3,94.7,95.5,91.6,11.49M,-1.96%
16-04-2024,94.15,93.1,96.1,93.1,8.76M,-0.53%
15-04-2024,94.65,95.95,96.9,92.6,17.08M,-4.39%
12-04-2024,99,96.7,101.3,96.7,33.87M,2.59%
10-04-2024,96.5,97.35,97.45,95.3,8.61M,-0.57%
09-04-2024,97.05,97.4,98,95.6,10.07M,0.05%
08-04-2024,97,99.6,100.7,96.55,10.69M,-2.07%
05-04-2024,99.05,97.6,99.6,96.8,10.55M,1.69%
04-04-2024,97.4,99.45,101,96.6,15.81M,-1.22%
03-04-2024,98.6,98.45,100.35,98.05,12.53M,-0.45%
02-04-2024,99.05,98.85,100.4,96.8,18.14M,0.46%
01-04-2024,98.6,92.55,99.3,92.3,21.76M,7.41%
