Date,Price,Open,High,Low,Vol.,Change %
14-05-2024,"1,426.00","1,426.40","1,433.45","1,418.05",3.46M,0.20%
13-05-2024,"1,423.10","1,422.95","1,424.80","1,411.30",3.73M,-0.20%
10-05-2024,"1,426.00","1,427.85","1,430.55","1,413.30",8.78M,-0.61%
09-05-2024,"1,434.70","1,434.30","1,449.85","1,425.00",6.09M,0.47%
08-05-2024,"1,428.00","1,438.40","1,439.55","1,425.65",6.23M,-0.70%
07-05-2024,"1,438.00","1,426.85","1,443.25","1,415.60",6.08M,0.85%
06-05-2024,"1,425.90","1,420.00","1,445.70","1,417.10",6.45M,0.68%
03-05-2024,"1,416.30","1,422.10","1,424.80","1,403.20",8.84M,0.13%
02-05-2024,"1,414.45","1,413.00","1,424.00","1,411.85",10.08M,-0.43%
30-04-2024,"1,420.55","1,434.70","1,436.55","1,417.55",6.94M,-0.99%
29-04-2024,"1,434.75","1,429.95","1,439.80","1,428.25",5.06M,0.31%
26-04-2024,"1,430.25","1,439.70","1,445.40","1,427.00",8.06M,-0.57%
25-04-2024,"1,438.45","1,420.00","1,444.90","1,420.00",9.09M,0.54%
24-04-2024,"1,430.75","1,444.30","1,444.30","1,427.05",4.27M,-0.81%
23-04-2024,"1,442.40","1,443.00","1,446.85","1,433.00",4.86M,0.67%
22-04-2024,"1,432.75","1,419.90","1,436.85","1,413.05",5.86M,1.52%
19-04-2024,"1,411.25","1,385.00","1,426.85","1,378.75",20.60M,-0.56%
18-04-2024,"1,419.25","1,421.10","1,444.70","1,407.50",22.11M,0.34%
16-04-2024,"1,414.45","1,451.00","1,455.15","1,413.05",16.17M,-3.66%
15-04-2024,"1,468.15","1,480.00","1,491.95","1,461.05",8.53M,-1.12%
12-04-2024,"1,484.75","1,504.00","1,506.80","1,479.50",12.28M,-1.46%
10-04-2024,"1,506.80","1,500.35","1,509.85","1,484.55",6.74M,0.80%
09-04-2024,"1,494.85","1,490.00","1,513.80","1,487.30",9.42M,1.23%
08-04-2024,"1,476.70","1,483.00","1,490.95","1,474.10",6.61M,-0.16%
05-04-2024,"1,479.10","1,480.05","1,486.70","1,476.05",5.07M,-0.51%
04-04-2024,"1,486.70","1,490.55","1,495.65","1,468.00",11.19M,0.41%
03-04-2024,"1,480.65","1,479.00","1,495.10","1,475.00",8.74M,-0.15%
02-04-2024,"1,482.85","1,484.85","1,493.15","1,480.85",7.28M,-0.84%
01-04-2024,"1,495.45","1,525.00","1,529.95","1,492.80",6.58M,-0.17%
