Date,Price,Open,High,Low,Vol.,Change %
14-05-2024,340,342.3,343.8,333.35,1.47M,-0.80%
13-05-2024,342.75,359,359,335.55,2.66M,-1.97%
10-05-2024,349.65,340.55,349.65,336,5.69M,5.00%
09-05-2024,333,312.6,333,310,9.03M,5.00%
08-05-2024,317.15,328.05,329.35,317.15,7.39M,-5.00%
07-05-2024,333.85,351,351,333.85,5.41M,-5.08%
06-05-2024,351.7,351.4,358.65,351.4,4.46M,-4.92%
03-05-2024,369.9,374.25,375.5,368.45,982.43K,-0.51%
02-05-2024,371.8,373.15,386,366.55,2.04M,-0.12%
30-04-2024,372.25,377.8,378,371.7,1.18M,-1.26%
29-04-2024,377,379.05,379.15,374.1,1.08M,0.00%
26-04-2024,377,380.65,381.95,376,1.16M,-0.50%
25-04-2024,378.9,382.5,383,378.05,792.36K,-1.03%
24-04-2024,382.85,385.4,391.35,380.65,1.24M,-0.04%
23-04-2024,383,383.95,383.95,376.25,1.51M,1.54%
22-04-2024,377.2,382.95,384.45,375.85,918.75K,-0.19%
19-04-2024,377.9,387.5,387.5,377.25,1.59M,-2.67%
18-04-2024,388.25,400.5,402.5,387,1.26M,-0.96%
16-04-2024,392,388.1,397.2,385.95,1.10M,0.76%
15-04-2024,389.05,382.9,398.6,378.35,1.64M,-0.70%
12-04-2024,391.8,400.25,400.4,391,1.33M,-1.77%
10-04-2024,398.85,397.6,403.95,388.1,3.36M,-1.58%
09-04-2024,405.25,416.2,416.4,402.9,925.77K,-1.64%
08-04-2024,412,418.55,421.6,411.55,869.76K,-1.39%
05-04-2024,417.8,410.6,422.35,410.1,2.36M,1.53%
04-04-2024,411.5,412.4,416.8,410,982.62K,0.15%
03-04-2024,410.9,415.35,419.2,409.95,1.25M,-1.01%
02-04-2024,415.1,410.65,421.4,405,3.20M,2.49%
01-04-2024,405,402.9,408.25,400,1.67M,0.58%
