Date,Price,Open,High,Low,Vol.,Change %
14-05-2024,301,300.2,301.9,296.5,238.40K,1.01%
13-05-2024,298,307.65,308.7,295.05,563.28K,-2.53%
10-05-2024,305.75,292.55,306.15,289.7,511.34K,4.51%
09-05-2024,292.55,298.9,298.95,290,313.09K,-0.98%
08-05-2024,295.45,303.1,304.45,295.2,334.22K,-1.68%
07-05-2024,300.5,303.4,305.5,295.4,329.60K,-0.50%
06-05-2024,302,311.1,311.1,298.5,532.45K,-2.45%
03-05-2024,309.6,315,315.05,308.25,326.18K,-1.04%
02-05-2024,312.85,319.6,319.9,310,368.95K,-1.42%
30-04-2024,317.35,322.45,323.8,315.25,381.93K,-1.18%
29-04-2024,321.15,322.5,332.95,320,929.11K,0.72%
26-04-2024,318.85,315,322.5,315,512.63K,-0.16%
25-04-2024,319.35,318.4,324.9,314.55,920.17K,0.66%
24-04-2024,317.25,298,325.7,297.75,4.00M,7.31%
23-04-2024,295.65,294.1,305.2,291.75,642.77K,1.03%
22-04-2024,292.65,291,294.6,290,292.51K,2.20%
19-04-2024,286.35,285.05,290.5,284.85,558.90K,-2.02%
18-04-2024,292.25,290,299.55,290,350.93K,0.72%
16-04-2024,290.15,293,295.7,287.55,633.59K,-0.46%
15-04-2024,291.5,290.05,295.35,284.55,559.44K,-2.31%
12-04-2024,298.4,305,306,296.15,506.57K,-1.87%
10-04-2024,304.1,309.85,310,303.05,363.37K,-0.93%
09-04-2024,306.95,306.85,310.8,301.55,531.22K,0.84%
08-04-2024,304.4,310,313.75,302.5,532.17K,-0.99%
05-04-2024,307.45,309,312.6,304.55,923.80K,-0.19%
04-04-2024,308.05,295,309.95,294.95,1.46M,4.89%
03-04-2024,293.7,292.9,295.95,289.35,584.80K,0.81%
02-04-2024,291.35,289,293.45,285,894.47K,0.81%
01-04-2024,289,267,291.7,265.9,2.03M,9.66%
