Date,Price,Open,High,Low,Vol.,Change %
14-05-2024,21.4,21.15,21.5,21.15,223.69K,0.94%
13-05-2024,21.2,21.4,21.4,20.8,412.53K,-2.08%
10-05-2024,21.65,21.15,21.85,20.7,565.39K,2.61%
09-05-2024,21.1,21.85,21.95,20.75,783.12K,-3.65%
08-05-2024,21.9,21.75,22.25,21.75,489.42K,0.46%
07-05-2024,21.8,22,22.25,21.75,385.82K,-1.58%
06-05-2024,22.15,22.65,22.65,22.05,580.05K,-1.34%
03-05-2024,22.45,22.85,22.95,22.4,535.92K,-1.54%
02-05-2024,22.8,22.9,22.9,22.65,441.75K,0.00%
30-04-2024,22.8,23,23.15,22.7,733.34K,-0.87%
29-04-2024,23,22.85,23.75,22.8,2.07M,0.88%
26-04-2024,22.8,22.95,23.2,22.75,834.04K,-0.22%
25-04-2024,22.85,22.85,23.45,22.75,1.24M,0.66%
24-04-2024,22.7,22.7,23.1,22.65,1.13M,0.00%
23-04-2024,22.7,22.8,22.95,22.55,600.83K,0.22%
22-04-2024,22.65,22.2,23.05,22.2,1.64M,2.03%
19-04-2024,22.2,22.1,22.4,21.9,728.70K,-0.67%
18-04-2024,22.35,22.2,22.7,22.15,1.15M,0.22%
16-04-2024,22.3,21.95,22.4,21.75,590.30K,1.36%
15-04-2024,22,18.2,22.3,18.2,1.81M,-1.79%
12-04-2024,22.4,22.8,23,22.25,666.87K,-2.61%
10-04-2024,23,23.15,23.35,22.7,1.36M,0.88%
09-04-2024,22.8,22.3,23.35,21.85,1.11M,2.70%
08-04-2024,22.2,22.95,23.05,22.1,421.99K,-2.63%
05-04-2024,22.8,22.85,22.9,22.45,551.80K,0.22%
04-04-2024,22.75,22.9,23.2,22.25,1.40M,0.22%
03-04-2024,22.7,22.35,23.05,22.25,1.56M,2.02%
02-04-2024,22.25,21.1,22.5,20.9,1.80M,5.45%
01-04-2024,21.1,19.7,21.55,19.7,1.52M,8.76%
